City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,hilo,US,79.39,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
1,eureka,US,58.68,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
2,rikitea,PF,77.85,few clouds,-23.1203,-134.9692,People ThankYou
6,hermanus,ZA,64.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
7,kaeo,NZ,60.33,overcast clouds,-35.1,173.7833,Bushido Lodge
8,punta arenas,CL,55.51,broken clouds,-53.15,-70.9167,Hotel Hain
9,cape town,ZA,65.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
11,port alfred,ZA,69.19,scattered clouds,-33.5906,26.891,The Halyards Hotel
12,bluff,NZ,53.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
13,sao filipe,CV,73.89,overcast clouds,14.8961,-24.4956,Hotel Xaguate
15,arraial do cabo,BR,82.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
16,ushuaia,AR,53.26,broken clouds,-54.8,-68.3,Albatross Hotel
17,dabat,ET,57.2,few clouds,12.9842,37.765,Haymanot hotel
18,boca do acre,BR,79.25,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
20,vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
23,saint-philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,rocha,UY,88.43,clear sky,-34.4833,-54.3333,Hotel Arrarte
26,ngunguru,NZ,60.17,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
27,denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
29,pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
30,warrnambool,AU,59.81,overcast clouds,-38.3833,142.4833,Lady Bay Resort
31,hobart,AU,64.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
32,busselton,AU,62.04,light rain,-33.65,115.3333,Observatory Guest House
33,chuy,UY,84.06,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
34,matara,LK,76.51,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
36,georgetown,MY,76.93,scattered clouds,5.4112,100.3354,Cititel Penang
37,kapaa,US,75.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,mataura,NZ,53.47,broken clouds,-46.1927,168.8643,Ellie's Villa
40,salalah,OM,69.26,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
41,quelimane,MZ,82.35,scattered clouds,-17.8786,36.8883,Hotel Flamingo
42,port lincoln,AU,62.64,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
45,kapoeta,SS,87.51,clear sky,4.7717,33.5903,Eastgate Hotel
47,mount gambier,AU,58.91,overcast clouds,-37.8333,140.7667,The Commodore
51,hithadhoo,MV,81.93,overcast clouds,-0.6,73.0833,Scoop Guest House
54,elizabeth city,US,64.42,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
55,jamestown,US,53.53,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
56,ribeira grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
57,half moon bay,US,69.55,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
58,nador,MA,61.05,clear sky,35.174,-2.9287,Hôtel La Giralda
60,hastings,GB,57.13,overcast clouds,50.8552,0.5729,Zanzibar Hotel
61,new norfolk,AU,63.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
62,avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
64,port elizabeth,ZA,65.1,clear sky,-33.918,25.5701,39 On Nile Guest House
66,kavieng,PG,81.81,moderate rain,-2.5744,150.7967,Nusa Island Retreat
69,vao,NC,79.12,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
