City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
0,hilo,19.7297,-155.09,79.39,clear sky,0,0,65,0,2.44,US
1,eureka,40.8021,-124.1637,58.68,clear sky,0,0,74,0,11.01,US
2,rikitea,-23.1203,-134.9692,77.85,few clouds,0,0,72,15,12.1,PF
3,preobrazheniye,42.9019,133.9064,15.24,overcast clouds,0,0,75,98,9.33,RU
4,sayville,40.7359,-73.0821,44.29,overcast clouds,0,0,78,100,11.5,US
5,narsaq,60.9167,-46.05,-2.22,overcast clouds,0,0,78,99,3.6,GL
6,hermanus,-34.4187,19.2345,64.9,clear sky,0,0,70,1,12.68,ZA
7,kaeo,-35.1,173.7833,60.33,overcast clouds,0,0,91,93,3.31,NZ
8,punta arenas,-53.15,-70.9167,55.51,broken clouds,0,0,54,75,39.12,CL
9,cape town,-33.9258,18.4232,65.12,few clouds,0,0,71,20,24.16,ZA
10,ixtapa,20.7,-105.2,90.32,clear sky,0,0,27,0,9.37,MX
11,port alfred,-33.5906,26.891,69.19,scattered clouds,0,0,76,25,16.75,ZA
12,bluff,-46.6,168.3333,53.8,scattered clouds,0,0,76,44,7.99,NZ
13,sao filipe,14.8961,-24.4956,73.89,overcast clouds,0,0,66,100,11.63,CV
14,batagay,67.6333,134.6333,-39.91,overcast clouds,0,0,100,85,2.26,RU
15,arraial do cabo,-22.9661,-42.0278,82.26,clear sky,0,0,65,0,12.66,BR
16,ushuaia,-54.8,-68.3,53.26,broken clouds,0,0,43,75,16.11,AR
17,dabat,12.9842,37.765,57.2,few clouds,0,0,37,18,2.53,ET
18,boca do acre,-8.7522,-67.3978,79.25,broken clouds,0,0,94,80,3.31,BR
19,beyneu,45.3167,55.2,35.02,clear sky,0,0,49,0,7.85,KZ
20,vaini,-21.2,-175.2,80.76,few clouds,0,0,89,20,2.3,TO
21,shingu,33.7333,135.9833,32.92,scattered clouds,0,0,60,27,16.89,JP
22,hasaki,35.7333,140.8333,36.0,overcast clouds,0,0,50,98,14.43,JP
23,saint-philippe,-21.3585,55.7679,80.19,scattered clouds,0,0,79,49,11.92,RE
